,r,time
0,0.9997729723593848,0
1,0.9823274333869693,2
2,0.8468943447696988,4
3,0.5243679735205159,6
4,0.3303992129653601,8
5,0.3096267696267696,10
6,0.29509976596617365,12
7,0.13637182489641506,24
