,r,time
0,0.9996859924067255,0
1,0.9743031011665914,2
2,0.5433414168515557,4
3,0.4610165926003839,6
4,0.20541922290388548,8
5,0.27388223167117637,10
6,0.19543949044585987,12
7,0.21970814053999085,24
