mitograph_data_extract_v2.py
directory: 2016_02_25_s1


image path	cellID	genotype	time	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t001_cell_001	2016022501001	wildtype	-240	2	1.853084992216298	13.50280291903267	1.3604151382020169	0.5403275205834353	4.02388	0.926542496108149	6.751401459516335	1.1976582256563062	0.7099949331191148	9.148725425773971	1.2559858390821863	0.6412569350866423	37.204597345975145	21.27694140518636	0.47547	0.05559	4.0	0	21.4823	0.0862610145196882
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t001_cell_002	2016022501002	wildtype	-240	1	4.480274797438762	31.82351842239601	1.5560748513840341	0.4129895210129199	14.12749	4.480274797438762	31.82351842239601	1.5560748513840341	0.4129895210129199	31.82351842239601	1.5560748513840341	0.4129895210129199	40.069842777421535	40.069842777421535	0.46571	0.06501	1.0	0	79.4844	0.0563667184685141
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t001_cell_003	2016022501003	wildtype	-240	4	4.297845899033324	30.42431283201524	1.5427114878930213	0.4201753523521205	9.24286	1.0744614747583308	7.606078208003808	1.206184838381423	0.701989018222246	8.927759676860395	1.2464083287905483	0.6527391221824465	76.10401661058978	20.840136960722038	0.46788	0.0834	8.0	0	85.3209	0.05037272109217465
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t001_cell_004	2016022501004	wildtype	-240	5	4.1410202331646175	29.281886847274734	1.5323395676794882	0.4258826699302321	10.37257	0.8282040466329235	5.856377369454945	1.160861685320577	0.7528375833785834	7.4027321708465745	1.2032933320130987	0.6990129024761084	84.42978542338727	18.744706245440387	0.42453	0.11829	10.0	0	75.2446	0.05503411850371478
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t001_cell_005	2016022501005	wildtype	-240	2	6.468987077948444	46.97453356134537	1.672670566282919	0.3574202633555825	16.952820000000006	3.2344935389742218	23.487266780672684	1.3638983884713232	0.6155525181593882	40.13640274292882	1.605891153546035	0.406484723388444	61.21461284531955	45.183687548623936	0.4261	0.09468	6.0	0	110.8433	0.05836155255165124
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t001_cell_006	2016022501006	wildtype	-240	3	3.5200494623849057	24.005441322755946	1.4646365340489094	0.4661656555032725	6.29724	1.1733498207949686	8.00181377425198	1.2153348659754424	0.6798140706828594	8.602848387807631	1.228203975862074	0.6659236673115787	57.515223080960205	19.792863961844073	0.48233	0.0875	6.0	0	50.3086	0.06996913971736256
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t001_cell_007	2016022501007	wildtype	-240	3	4.317789491102092	30.79784186518968	1.549759325886093	0.416362380686334	9.40385	1.4392631637006972	10.26594728839656	1.2185471276341298	0.7164348454040881	18.36386786909676	1.3832477257047986	0.5522888710108259	61.91367531598135	29.347224211316895	0.4557100000000001	0.09509	7.0	0	61.1695	0.07058729417605329
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t001_cell_008	2016022501008	wildtype	-240	1	2.2819093240084443	16.419947886420754	1.3996228712106058	0.5104790679567252	6.995589999999999	2.2819093240084443	16.419947886420754	1.3996228712106058	0.5104790679567252	16.419947886420754	1.3996228712106058	0.5104790679567252	29.15810387065617	29.15810387065617	0.43998	0.08771	2.0	0	47.9038	0.047635246556816876
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t001_cell_009	2016022501009	wildtype	-240	19	3.2084409786193233	37.5255303518858	1.8963985207373573	0.2803410239759255	20.36632	0.1688653146641749	1.9750279132571475	1.1422147022438935	0.7867817470938906	7.541463165612928	1.3419576694377635	0.5895822262942481	311.76797037876685	27.059042693085882	0.25697	0.08517999999999999	31.0	10	3.2723	0.9804849734496602
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t002_cell_001	2016022501001	wildtype	-225	1	3.0597736762213015	21.60557054884404	1.4559430002496552	0.4717492891147838	7.088310000000001	3.0597736762213015	21.60557054884404	1.4559430002496552	0.4717492891147838	21.60557054884404	1.4559430002496552	0.4717492891147839	32.82156650182034	32.82156650182034	0.47206	0.08517999999999999	2.0	0	31.5816	0.09688469476598087
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t002_cell_002	2016022501002	wildtype	-225	3	4.012002668403049	28.62066107158661	1.5310076605213443	0.4266239894234049	10.2667	1.3373342228010163	9.540220357195539	1.2433915863415923	0.6727440718210976	11.45082475231111	1.302599170418162	0.6023872665130213	63.48218584579135	23.903632674649547	0.46037	0.07682	8.0	0	80.3841	0.04991040104203504
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s1_t002_cell_003	2016022501003	wildtype	-225	3	4.810812862060153	34.265171040417236	1.5768058963719889	0.40220135503264337	13.710679999999998	1.6036042873533844	11.42172368013908	1.2850244340400427	0.6209055572700467	14.227917564497659	1.342268340390001	0.569918507988481	69.5123005999792	26.3589307137606	0.4442	0.08907000000000001	5.0	0	89.6955	0.05363494112926684
