mitograph_data_extract_v2.py
directory: 2019_02_14_sucrose


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_14_yLB126_sucrose_01_w2488 laser 10_cell_001	2019021401001	sucrose	1	6.1443267176050655	44.17343286214478	1.6501132301056012	0.3672590506976076	20.91829	6.1443267176050655	44.17343286214478	1.6501132301056012	0.3672590506976076	44.17343286214478	1.650113230105601	0.3672590506976076	47.78234126935597	47.78234126935597	0.43183	0.09672	2.0	0	48.0314	0.12792312357343458
2019_02_14_yLB126_sucrose_01_w2488 laser 10_cell_002	2019021401002	sucrose	1	6.791401882227482	51.672405879138424	1.7261060269873856	0.33563331472986463	24.63838	6.791401882227482	51.672405879138424	1.7261060269873856	0.33563331472986463	51.672405879138424	1.7261060269873856	0.33563331472986463	54.69260303408245	54.69260303408245	0.38617	0.10752	3.0	0	49.8966	0.1361095121156047
2019_02_14_yLB126_sucrose_01_w2488 laser 10_cell_003	2019021401003	sucrose	2	6.3190237184469735	48.685962912615345	1.7162339595767502	0.3395056589315783	24.125	3.1595118592234868	24.342981456307673	1.391793235879769	0.5973208269024117	43.12313356040655	1.66059956562626	0.3772021414936903	65.63535171532824	49.697155192196796	0.40522	0.12164	7.0	0	54.57899999999999	0.11577756496907188
2019_02_14_yLB126_sucrose_01_w2488 laser 10_cell_004	2019021401004	sucrose	1	3.9231849061645288	28.3283646071466	1.5345784564387008	0.4246408847919653	10.72581	3.9231849061645288	28.3283646071466	1.5345784564387008	0.4246408847919653	28.3283646071466	1.5345784564387008	0.4246408847919653	38.432043527080715	38.432043527080715	0.42286	0.11173	3.0	0	38.0957	0.10298235512576298
2019_02_14_yLB126_sucrose_10_w2488 laser 10_cell_001	2019021400001	sucrose	1	2.5883109214543483	19.262675547768538	1.4535972553890897	0.4732730899583217	8.59285	2.5883109214543483	19.262675547768538	1.4535972553890897	0.4732730899583217	19.262675547768538	1.4535972553890897	0.4732730899583216	32.66318040427931	32.66318040427931	0.4117	0.12313	4.0	0	45.8417	0.05646193141734159
2019_02_14_yLB126_sucrose_10_w2488 laser 10_cell_002	2019021400002	sucrose	3	2.489185438472775	18.06484093431285	1.4261195214602769	0.4916863485489146	7.016489999999999	0.8297284794909251	6.0216136447709525	1.1940717967440986	0.7269759880151299	16.061060156241233	1.374467498759092	0.5322614604309064	56.49075075120865	27.720905799306973	0.4236	0.11598	7.0	1	45.5889	0.05460069092416739
2019_02_14_yLB126_sucrose_10_w2488 laser 10_cell_003	2019021400003	sucrose	2	7.1874979732321895	53.432137613100814	1.7223971591171927	0.33708032113774	23.64859	3.5937489866160948	26.716068806550407	1.5043250996540818	0.4531355378688894	33.573731437141575	1.5741871942111758	0.411396628704134	74.22375646190339	42.16990867449349	0.41814	0.08023	8.0	0	89.331	0.08045916840998298
2019_02_14_yLB126_sucrose_10_w2488 laser 10_cell_004	2019021400004	sucrose	5	4.618824750965858	37.29925117918851	1.6676215528683758	0.359587843404832	15.72815	0.9237649501931718	7.459850235837702	1.3087426562050248	0.5913495242755447	12.271116929727585	1.350620503590125	0.5519696857806831	120.68448843740255	26.369595780556182	0.36422	0.12428	10.0	0	70.3444	0.06566016272746457
2019_02_14_yLB126_sucrose_10_w2488 laser 10_cell_005	2019021400005	sucrose	3	5.047837617325988	38.722452627060505	1.6495706003151729	0.3675007117449181	14.79716	1.6826125391086633	12.907484209020168	1.3076992170236723	0.6236198197953206	20.889521713008687	1.455267842681026	0.4918459052550199	75.99401692781545	33.81670021154473	0.40762	0.09777	7.0	0	62.6395	0.080585534963178
2019_02_14_yLB126_sucrose_10_w2488 laser 10_cell_006	2019021400006	sucrose	2	5.896035881882557	46.87145056870989	1.7232915648183502	0.3367305157654572	22.77339	2.9480179409412783	23.435725284354945	1.5353377569062476	0.42501345636607213	23.418743908858968	1.534582085364852	0.425431567511661	77.12189182298914	38.504102725685904	0.35278000000000004	0.10965	4.0	0	43.3126	0.13612749827723472
2019_02_14_yLB126_sucrose_10_w2488 laser 10_cell_007	2019021400007	sucrose	2	5.870563164987682	44.976867311177436	1.6905419454169033	0.3499033482225228	22.75802	2.935281582493841	22.488433655588718	1.4667581513677297	0.4812488193339178	28.256604818433164	1.5445528811518845	0.4307825604839887	69.44382019684595	40.0821524709102	0.4001	0.10267	4.0	0	62.7748	0.09351783143853397
2019_02_14_yLB126_sucrose_11_w2488 laser 10_cell_001	2019021401001	sucrose	1	1.873764319822492	14.100325225859942	1.3850565785805713	0.5212726886028597	6.9108100000000015	1.873764319822492	14.100325225859942	1.3850565785805713	0.5212726886028597	14.100325225859942	1.3850565785805713	0.5212726886028597	28.25717425933989	28.25717425933989	0.37587	0.12236	2.0	0	26.5292	0.07063026098874041
2019_02_14_yLB126_sucrose_11_w2488 laser 10_cell_002	2019021401002	sucrose	2	3.5518200732775305	26.761218901325787	1.5417971216327715	0.4206738720131003	9.34122	1.7759100366387652	13.380609450662892	1.3170406044463687	0.6195886302563505	25.077666764546198	1.5114483292240684	0.44094824716707776	52.07835996003537	36.88366788925856	0.44847	0.09769	5.0	0	60.1222	0.059076681712870296
2019_02_14_yLB126_sucrose_11_w2488 laser 10_cell_003	2019021401003	sucrose	6	8.469356563180122	65.80751243154248	1.8097234028049936	0.3053343006449011	26.6604	1.4115594271966871	10.967918738590413	1.317689828894656	0.5912798165924954	15.568885853829189	1.3948857255964993	0.5256777845000536	149.93801525423353	29.432284119468733	0.36655	0.12939	13.0	0	98.0571	0.08637168102238514
2019_02_14_yLB126_sucrose_11_w2488 laser 10_cell_004	2019021401004	sucrose	2	4.378634824263359	33.105502340616766	1.599294535258295	0.3909696931640732	14.215229999999998	2.1893174121316794	16.552751170308387	1.3257227257775477	0.6324444423536442	28.458697332458982	1.5377496799265808	0.4369938337851673	54.76639315873416	39.410988864061494	0.386	0.10071	4.0	0	67.7474	0.06463177663295357
2019_02_14_yLB126_sucrose_11_w2488 laser 10_cell_005	2019021401005	sucrose	4	3.6453095839006977	28.92098933583458	1.5889846602112545	0.3960596421689643	11.39869	0.9113273959751744	7.230247333958645	1.2567022927142757	0.6547710391501419	18.292528807237197	1.4175715380140728	0.51186867371503	87.55758332696243	30.93600835353352	0.39235	0.11128	9.0	0	55.1072	0.06614942482834725
2019_02_14_yLB126_sucrose_11_w2488 laser 10_cell_006	2019021401006	sucrose	6	6.483959265810203	50.5863584569215	1.734447746279304	0.33241266277450443	18.81433	1.0806598776350338	8.431059742820251	1.2364496365345576	0.6838849227458793	15.974453414635295	1.3901313799118948	0.5375212405478409	126.83485773918257	29.475476568823403	0.4310100000000001	0.08893999999999999	14.0	0	71.83	0.09026812287080889
2019_02_14_yLB126_sucrose_11_w2488 laser 10_cell_007	2019021401007	sucrose	1	4.9075985870663	36.85917746953595	1.6245799159730894	0.378894097822138	15.78029	4.9075985870663	36.85917746953595	1.6245799159730894	0.378894097822138	36.85917746953595	1.6245799159730894	0.378894097822138	45.598381363652535	45.598381363652535	0.41155	0.08442000000000001	3.0	0	66.4341	0.07387168016224047
2019_02_14_yLB126_sucrose_11_w2488 laser 10_cell_008	2019021401008	sucrose	2	5.8047371542371975	42.400358700584185	1.6475876075586326	0.3683858723262545	20.44576	2.9023685771185983	21.200179350292093	1.4206298062825122	0.5176655223099054	31.309617054384926	1.5411944254694008	0.4310606134637648	63.64441911506828	39.62286601491625	0.42028	0.09916	6.0	0	91.7217	0.06328641045943542
2019_02_14_yLB126_sucrose_11_w2488 laser 10_cell_009	2019021401009	sucrose	2	3.4160954878100838	27.454498275452384	1.5820542057233085	0.3995372543825048	13.25075	1.7080477439050417	13.727249137726192	1.316546816834086	0.6425004117125687	25.923203842391292	1.5543034473734152	0.4184292484862943	53.72732716964365	40.167699075537705	0.38163	0.09175	8.0	0	26.0304	0.13123484417489104
2019_02_14_yLB126_sucrose_11_w2488 laser 10_cell_010	2019021401010	sucrose	3	1.8575828863104948	17.910689260790015	1.5655418690325058	0.4080098296844534	8.0623	0.6191942954368316	5.970229753596673	1.261190765833942	0.6607601446460089	7.299975416581402	1.3292150843819182	0.5927815165325379	67.45855251585365	26.07902563587208	0.34123000000000003	0.11426	6.0	0	46.3123	0.04010992514538243
2019_02_14_yLB126_sucrose_12_w2488 laser 10_cell_001	2019021402001	sucrose	1	3.5959449984393723	27.11523492918713	1.5455875475623326	0.4186130661734237	11.04004	3.5959449984393723	27.11523492918713	1.5455875475623326	0.4186130661734237	27.11523492918713	1.5455875475623326	0.4186130661734237	39.26512794666343	39.26512794666343	0.41935	0.08999	5.0	0	75.3582	0.047718031991732454
2019_02_14_yLB126_sucrose_12_w2488 laser 10_cell_002	2019021402002	sucrose	2	2.578129411090436	20.107862306828956	1.4870970701216082	0.452190427081382	10.16618	1.2890647055452178	10.053931153414478	1.2750988061092676	0.6587881684376583	18.955422364507484	1.4599929545947443	0.4719948790439923	47.11189284267538	33.219736839535884	0.37788	0.10378	4.0	0	35.4251	0.0727769127282756
2019_02_14_yLB126_sucrose_12_w2488 laser 10_cell_003	2019021402003	sucrose	2	5.311156272713424	41.49398003249416	1.6788843903383912	0.3547794185173716	17.81307	2.655578136356712	20.74699001624708	1.4597213406337075	0.4841924882678153	27.143945814046358	1.54258694231052	0.42978429596932344	68.21713810863656	39.76135875933581	0.38022	0.12196	7.0	0	70.7684	0.07504982835154425
2019_02_14_yLB126_sucrose_12_w2488 laser 10_cell_004	2019021402004	sucrose	3	7.306439675057797	56.73852750183864	1.765204531929769	0.3209297164936385	26.16013	2.4354798916859326	18.91284250061288	1.448616282925722	0.4861792815463096	22.172786866629195	1.4954242463904472	0.4536567864847588	98.81341209103981	36.00720020524796	0.3933	0.11148	8.0	0	40.4984	0.18041304533161304
2019_02_14_yLB126_sucrose_12_w2488 laser 10_cell_005	2019021402005	sucrose	3	4.761502965188922	34.937194388791205	1.5976706774553582	0.39176485306605774	15.03121	1.587167655062974	11.645731462930401	1.2894760969464891	0.6360368785129324	18.07405874224613	1.4173996774889366	0.5045891339579928	71.99101062654891	30.648310259391195	0.39459	0.11854	7.0	0	50.6801	0.09395212253308342
2019_02_14_yLB126_sucrose_12_w2488 laser 10_cell_006	2019021402006	sucrose	1	4.489633213998329	34.50576457908263	1.619198692570785	0.3814167058813557	13.983629999999998	4.489633213998329	34.50576457908263	1.619198692570785	0.3814167058813557	34.50576457908263	1.619198692570785	0.3814167058813557	45.14676332356464	45.14676332356464	0.3654	0.09777	4.0	0	62.3908	0.07195985969082508
2019_02_14_yLB126_sucrose_12_w2488 laser 10_cell_007	2019021402007	sucrose	1	4.9313780753036935	36.65337396039731	1.6174299598815467	0.38225135477332056	15.53742	4.9313780753036935	36.65337396039731	1.6174299598815467	0.38225135477332056	36.65337396039731	1.6174299598815467	0.38225135477332056	44.99897659193935	44.99897659193935	0.3996	0.09055	6.0	0	58.809	0.08385413925255818
2019_02_14_yLB126_sucrose_12_w2488 laser 10_cell_008	2019021402008	sucrose	3	7.2045588751749285	52.480670828045795	1.7056444091650005	0.3437344099759097	21.29333	2.401519625058309	17.49355694268193	1.3861494127935494	0.5396558276443159	22.410590993112454	1.4614048647998759	0.4779992338851316	87.77313455717052	33.73207955082843	0.42042	0.09656	9.0	0	62.50899999999999	0.11525634508910604
2019_02_14_yLB126_sucrose_12_w2488 laser 10_cell_009	2019021402009	sucrose	3	3.5963417931436963	26.696979555990094	1.5335643902308371	0.4252026562386381	11.3078	1.1987805977145654	8.898993185330033	1.230863909099509	0.6963903193086046	16.981091954962316	1.394056586489396	0.5276875432274518	62.91260904740177	29.39747886567219	0.40052	0.1219	9.0	0	44.2652	0.08124535285379252
2019_02_14_yLB126_sucrose_13_w2488 laser 10_cell_001	2019021403001	sucrose	1	3.490946899307603	24.546356547361192	1.4851501928011752	0.4533767533142016	11.02068	3.490946899307603	24.546356547361192	1.4851501928011752	0.4533767533142016	24.546356547361192	1.4851501928011752	0.4533767533142016	34.83672454505501	34.83672454505501	0.42242	0.09102	1.0	0	49.4111	0.07065106624437835
2019_02_14_yLB126_sucrose_13_w2488 laser 10_cell_002	2019021403002	sucrose	1	6.656732397015044	51.02943739247625	1.7328683093621466	0.33535445233993444	26.91934	6.656732397015044	51.02943739247625	1.726823545459158	0.33535445233993444	51.02943739247625	1.7268235454591585	0.33535445233993444	54.760836272389625	54.760836272389625	0.35903	0.11798	6.0	1	83.4224	0.07979550333022119
2019_02_14_yLB126_sucrose_13_w2488 laser 10_cell_003	2019021403003	sucrose	1	3.038920308343408	20.996969659214304	1.43856606380642	0.4832149675921556	8.56974	3.038920308343408	20.996969659214304	1.43856606380642	0.4832149675921556	20.996969659214304	1.4385660638064202	0.4832149675921556	31.660343291117357	31.660343291117357	0.4434	0.09467	3.0	0	75.248	0.04038539640048118
2019_02_14_yLB126_sucrose_13_w2488 laser 10_cell_004	2019021403004	sucrose	1	4.071852414592941	29.178823875770828	1.5382531728949114	0.4226144680462983	11.81552	4.071852414592941	29.178823875770828	1.5382531728949114	0.4226144680462983	29.178823875770828	1.5382531728949114	0.4226144680462983	38.70879441333583	38.70879441333583	0.45329	0.07666	2.0	0	56.0971	0.07258579168251017
2019_02_14_yLB126_sucrose_13_w2488 laser 10_cell_005	2019021403005	sucrose	2	2.907391577567417	22.41661843933724	1.5084878327449769	0.43945699012632816	10.84288	1.4536957887837088	11.20830921966862	1.2757184502671108	0.6651732623576962	20.160750815941647	1.4645558430556709	0.4732988670705099	47.645367190712385	33.71363496929565	0.39729	0.11528	7.0	0	61.7842	0.04705720196372887
2019_02_14_yLB126_sucrose_13_w2488 laser 10_cell_006	2019021403006	sucrose	4	6.540387306304098	50.22747347746607	1.72329957906493	0.3367273838258445	22.30187	1.6350968265760244	12.556868369366518	1.3144676665075914	0.6110789105029996	20.431879720148302	1.4554079176651091	0.4850101205641375	101.9049636431536	33.431336419133174	0.41558	0.09813	13.0	0	57.7903	0.11317448267795975
2019_02_14_yLB126_sucrose_13_w2488 laser 10_cell_007	2019021403007	sucrose	1	3.8879310939250438	29.747900900470626	1.5772961660858795	0.4019513620361013	16.520960000000002	3.8879310939250438	29.747900900470626	1.5772961660858795	0.4019513620361013	29.747900900470626	1.5772961660858795	0.4019513620361013	41.73168588489559	41.73168588489559	0.39285	0.10296	2.0	0	48.1624	0.08072544337335855
2019_02_14_yLB126_sucrose_13_w2488 laser 10_cell_008	2019021403008	sucrose	2	5.9814148785395815	44.479704943192466	1.6707222037240157	0.3582543820522809	18.62601	2.9907074392697908	22.239852471596233	1.4807407987091938	0.4591035969780943	23.33247849031182	1.4954167239092278	0.4500230443359082	69.51069129831018	35.7827219312987	0.4199100000000001	0.09442	6.0	0	80.5298	0.0742757945324536
2019_02_14_yLB126_sucrose_13_w2488 laser 10_cell_009	2019021403009	sucrose	3	3.3621658422729093	24.799060381895305	1.5115963696933976	0.4376513974611882	9.22965	1.120721947424303	8.266353460631768	1.251962887280053	0.6419989909509622	8.915066373791987	1.2681104437086628	0.6259118865182506	63.01156520842905	21.82765427738159	0.43674	0.08195	7.0	0	22.3216	0.15062387294248214
2019_02_14_yLB126_sucrose_13_w2488 laser 10_cell_010	2019021403010	sucrose	1	5.8314958014454605	42.85531976487113	1.6538659981846842	0.3655942551557964	20.16288	5.8314958014454605	42.85531976487113	1.6538659981846842	0.3655942551557964	42.85531976487113	1.6538659981846842	0.3655942551557964	48.109090052843726	48.109090052843726	0.39309	0.08843	6.0	0	70.0057	0.08330029985337566
2019_02_14_yLB126_sucrose_14_w2488 laser 10_cell_001	2019021404001	sucrose	2	1.971437305226433	14.409697237353766	1.3766526515644586	0.5276564470215896	4.94629	0.9857186526132165	7.204848618676883	1.216875578425069	0.6821267112423257	8.325289468883527	1.245462914311414	0.6501838858899082	38.71042884885104	20.707277934458734	0.45186	0.04024	4.0	0	22.8324	0.08634384932054594
2019_02_14_yLB126_sucrose_14_w2488 laser 10_cell_002	2019021404002	sucrose	3	8.595868477305345	65.9248143957028	1.8024053798835291	0.307818735628609	29.8349	2.865289492435115	21.97493813190093	1.3577727928239016	0.6165891636376951	49.21727515552149	1.683090476627265	0.3713442349843337	91.60370022955402	52.400305189543744	0.37554	0.10837	10.0	0	95.5171	0.08999298007692177
2019_02_14_yLB126_sucrose_14_w2488 laser 10_cell_003	2019021404003	sucrose	1	4.602972158609324	33.74317098993596	1.5879546721459366	0.3965735976499895	13.893070000000002	4.602972158609324	33.74317098993596	1.5879546721459366	0.3965735976499895	33.74317098993596	1.5879546721459366	0.3965735976499895	42.583415391830655	42.583415391830655	0.40823	0.0985	2.0	0	67.2214	0.06847480353889274
