mitograph_data_extract_v2.py
directory: 2018_12_20_glucose


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2018_12_18_yLB126_glucose_01_w2488 laser 10_cell_001	2018122001001	glucose	4	11.189245179384852	57.018355358650034	1.5352001971983087	0.4242970037988297	15.586329999999998	2.797311294846213	14.254588839662508	1.2156546923333682	0.686049755334093	15.725047487370686	1.2283233498318324	0.6721246286574226	77.6048816889402	20.011464297612566	0.61665	0.17985	11.0	0	73.485	0.1522657029242002
2018_12_18_yLB126_glucose_01_w2488 laser 10_cell_002	2018122001002	glucose	2	7.96104506253833	41.35609926103513	1.4645505340920566	0.466220404591675	10.36791	3.980522531269165	20.678049630517567	1.2729894928132626	0.6370826474398306	27.92461725919859	1.3516453527931938	0.5591804912188723	45.272633091051595	26.71726455085357	0.63322	0.12788	4.0	0	46.1649	0.172448008390321
2018_12_18_yLB126_glucose_01_w2488 laser 10_cell_003	2018122001003	glucose	6	12.203949256679495	69.67494100578351	1.6486537123973608	0.3679095916182981	24.31012	2.033991542779916	11.612490167630586	1.2370854298584797	0.6739640457778311	17.489685463218297	1.29066516360197	0.6077474075530868	124.47228294496958	23.13338095569398	0.52145	0.20469	9.0	0	101.6307	0.12008132637755614
2018_12_18_yLB126_glucose_01_w2488 laser 10_cell_004	2018122001004	glucose	5	14.990476547537634	78.54183344075767	1.6344437376922445	0.37433466715678904	19.55671	2.998095309507527	15.708366688151536	1.2606754528333963	0.6318269910453516	20.527261142784454	1.2809356122351658	0.6121241537347568	106.99047450448059	22.447161061644543	0.6047	0.18942	10.0	0	116.1416	0.12907069084236514
2018_12_18_yLB126_glucose_01_w2488 laser 10_cell_005	2018122001005	glucose	3	12.513522887565241	65.23173420024946	1.581955280839738	0.3995872247105409	21.91977	4.17117429585508	21.743911400083157	1.236461530842429	0.7050359259264182	44.521839861043304	1.4498016878346207	0.498265546885539	65.58213698088349	33.490608776514556	0.57865	0.15663	6.0	0	84.7946	0.1475745258255271
2018_12_18_yLB126_glucose_01_w2488 laser 10_cell_006	2018122001006	glucose	5	12.87310289136827	64.88343337811172	1.5628972814800062	0.4093917895045205	20.09261	2.5746205782736538	12.976686675622346	1.1912846598611848	0.7240691120190429	22.39768002159496	1.2875978475001169	0.6086631357712705	92.34928875137493	22.877352844069787	0.57214	0.18773	7.0	0	65.2167	0.19738966999814878
2018_12_18_yLB126_glucose_01_w2488 laser 10_cell_007	2018122001007	glucose	2	15.352655173076014	86.15243964232195	1.6982328181823765	0.3467412746503665	28.81813	7.676327586538007	43.076219821160976	1.4605921901090653	0.4914453082846098	57.207408226458604	1.562942830411847	0.42363527920199057	69.39893180035199	41.70216274783296	0.53493	0.16797	7.0	0	75.5892	0.2031064645885393
2018_12_18_yLB126_glucose_01_w2488 laser 10_cell_008	2018122001008	glucose	3	9.718757287618438	48.000261024615135	1.4763052306964128	0.4588256441543269	12.29081	3.2395857625394786	16.000087008205043	1.2267674946948752	0.6753419756694589	19.02444416032944	1.2515961053514826	0.6447220753508622	59.84566336513119	21.048105196157554	0.65545	0.20379	7.0	0	61.9192	0.15695870243185375
2018_12_18_yLB126_glucose_01_w2488 laser 10_cell_009	2018122001009	glucose	4	12.034464182879171	65.23023827299347	1.6026554594813496	0.38933160970555936	22.70697	3.008616045719793	16.30755956824837	1.2571600378188441	0.6520031598710544	30.70234386462427	1.3775996799170926	0.5465826193623214	87.50802611317242	28.700355679791354	0.56366	0.18551	6.0	0	56.4426	0.2132159784077837
2018_12_18_yLB126_glucose_01_w2488 laser 10_cell_010	2018122001010	glucose	3	11.760837069356878	63.253919815247876	1.590336091788728	0.3953868031519153	15.786970000000002	3.92027902311896	21.08463993841596	1.3060709723776387	0.6007187897988626	24.50407225347825	1.3458621794617691	0.5604025793642551	72.6448131193887	26.240438547708397	0.5905	0.16417	9.0	0	60.1704	0.19545884802754973
