mitograph_data_extract_v2.py
directory: 2016_01_15_s16


image path	cellID	genotype	time	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t001_cell_001	2016011516001	hxk2snf1	-60	1	1.551489539064412	11.693634554644694	1.3432280297386128	0.5542433720997622	3.73694	1.551489539064412	11.693634554644694	1.3432280297386128	0.5542433720997622	11.693634554644694	1.3432280297386128	0.5542433720997622	25.77362018698244	25.77362018698244	0.36351	0.13084	0.0	0	9.354	0.16586375230536798
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t001_cell_002	2016011516002	hxk2snf1	-60	1	8.952455643952845	63.6179636968445	1.7467621003763076	0.32774228641725506	30.463240000000006	8.952455643952845	63.6179636968445	1.7467621003763076	0.32774228641725506	63.6179636968445	1.7467621003763076	0.32774228641725506	56.67969022715428	56.67969022715428	0.41714	0.09235	3.0	0	98.7364	0.09067026591968964
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t001_cell_003	2016011516003	hxk2snf1	-60	2	7.2027348273342024	56.244568363116095	1.7658985763927078	0.3206774984733397	32.50527	3.6013674136671012	28.122284181558047	1.4984821717458094	0.476068590003104	43.26589817716008	1.6629137662175622	0.37385285439217303	76.32270982236419	50.028080756510846	0.35375	0.09513	2.0	0	64.0239	0.11250071968958783
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t002_cell_001	2016011516001	hxk2snf1	-45	2	2.877522929968654	21.657168131910407	1.487827245851333	0.4517466961902773	9.34269	1.438761464984327	10.828584065955203	1.3262729100040924	0.5686306668403593	11.064391421928995	1.3281870935794302	0.5669894009783151	49.630762023573865	24.922806540459657	0.38295	0.10077	2.0	0	14.2914	0.20134646920306296
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t002_cell_002	2016011516002	hxk2snf1	-45	5	8.224380684143929	60.82269908949621	1.7569377755241973	0.3239569032232885	20.69047	1.644876136828786	12.16453981789924	1.3036650283089002	0.614962569274887	17.7880770009365	1.4036985560215502	0.5203269422552631	122.60386288254757	30.03242923839082	0.42008	0.0855	11.0	0	98.6684	0.08335374531404106
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t002_cell_003	2016011516003	hxk2snf1	-45	1	7.689345098828162	57.791770979472176	1.7514368724798917	0.32599506295163744	30.34219	7.689345098828162	57.791770979472176	1.7514368724798917	0.32599506295163744	57.79177097947219	1.7514368724798917	0.32599506295163744	57.13597625291301	57.13597625291301	0.39587	0.09317	1.0	0	61.486999999999995	0.1250564363008142
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t003_cell_001	2016011516001	hxk2snf1	-30	2	3.7234833564766334	27.727766899061717	1.5448948044666335	0.4189885691885489	12.20764	1.8617416782383167	13.863883449530858	1.2958885769022603	0.6483866950959516	22.263913685109788	1.4657866029855338	0.4830411393192983	50.207707366461975	34.29224256905436	0.38386	0.10811	4.0	0	22.7321	0.16379847688848076
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t003_cell_002	2016011516002	hxk2snf1	-30	5	9.285224166673233	67.60086576400322	1.7788388355965072	0.3160288968777744	26.66323	1.8570448333346463	13.520173152800643	1.2541956501198337	0.6815727320596767	35.34624117653082	1.5274518957607368	0.4679036008730521	115.00801677349524	40.42313996693851	0.41604	0.10860999999999997	14.0	0	102.5779	0.09051875858906483
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t003_cell_003	2016011516003	hxk2snf1	-30	1	7.891062027949767	60.879233354125404	1.782162794156874	0.3148511286808321	34.8478	7.891062027949767	60.879233354125404	1.782162794156874	0.3148511286808321	60.879233354125404	1.782162794156874	0.3148511286808321	60.196093067770185	60.196093067770185	0.377	0.10072	2.0	0	68.093	0.11588653794001977
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t004_cell_001	2016011516001	hxk2snf1	-15	1	4.896767391631803	37.41905687663153	1.6380778261561746	0.3726755807771997	16.42549	4.896767391631803	37.41905687663153	1.6380778261561746	0.3726755807771997	37.41905687663153	1.6380778261561748	0.3726755807771997	46.74442062959834	46.74442062959834	0.39386	0.10099	2.0	0	31.3519	0.15618726111118633
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t004_cell_002	2016011516002	hxk2snf1	-15	6	9.334175643729699	69.90435431900015	1.8057241059174525	0.3066883001603814	28.63575	1.5556959406216169	11.65072571983336	1.2369620473396352	0.7001079218419517	29.883554104169306	1.4947497129561182	0.4905835565007219	132.11070745040462	38.17172676804724	0.38544	0.11515	12.0	0	101.552	0.09191523203609676
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t004_cell_003	2016011516003	hxk2snf1	-15	2	7.456303610069094	54.405878768596885	1.7168788789432778	0.3392506465904599	23.62555	3.728151805034547	27.20293938429845	1.3953094540772375	0.5927140160846468	49.93274777775442	1.6750347929826208	0.3658023814073815	65.98109506818014	50.639430993564474	0.38989	0.12304	7.0	0	68.1931	0.10934102731902633
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t005_cell_001	2016011516001	hxk2snf1	0	2	5.373347774845628	39.42866217835876	1.6302303541835834	0.3762721279478089	16.95361	2.6866738874228147	19.714331089179375	1.441165219972211	0.4861039731313701	22.18232431747753	1.4703994348241312	0.4664453000704135	64.27354425934583	34.07599527696085	0.42	0.08696	8.0	0	37.2539	0.14423584577307685
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s16_t005_cell_002	2016011516002	hxk2snf1	0	12	8.923697301472101	68.19177936264124	1.8104047167183248	0.3051045295209144	21.89721	0.7436414417893419	5.682648280220104	1.1669829063410937	0.7556715569555266	9.530126028269725	1.2662092995386305	0.6448343310433314	209.53964499809857	22.269563595772432	0.39891	0.11308	22.0	0	104.7321	0.08520498778762291
