mitograph_data_extract_v2.py
directory: 2016_02_25_s6


image path	cellID	genotype	time	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s10_t001_cell_001	2016022510001	rgt2snf3	-240	4	12.585895706504367	93.4830910710263	1.8901506804078947	0.279902737580037	41.11038	3.1464739266260917	23.370772767756574	1.4033918691162373	0.5495965684376876	50.20094873269458	1.6482129530325058	0.3893660833553252	127.85601208548742	49.679620442932695	0.41249	0.09846	13.0	0	119.8929	0.10497615543959957
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s10_t001_cell_002	2016022510002	rgt2snf3	-240	2	7.680883579981809	57.4688407300979	1.7471777693528494	0.3275863594157532	25.73986	3.840441789990905	28.73442036504895	1.4212089085857773	0.5695916866898282	49.215818679747706	1.6781584897768649	0.3727519630570737	69.54340300244436	51.58557007681161	0.40831	0.10493	12.0	0	50.2215	0.15294014674953574
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s10_t001_cell_003	2016022510003	rgt2snf3	-240	5	10.331849990169962	77.61819241636675	1.839417593535084	0.2955556921099518	33.224990000000005	2.066369998033992	15.523638483273348	1.283042364484115	0.667122405095218	36.90137470163077	1.5657224386132498	0.44327770986111253	125.61979950164609	43.30482449919033	0.41639	0.109	16.0	0	101.6483	0.10164311641385013
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s10_t001_cell_004	2016022510004	rgt2snf3	-240	11	11.993517109595723	87.27465269925415	1.8558939216386348	0.2903311947243962	33.74834	1.0903197372359748	7.934059336295832	1.209908101540112	0.7107507332155387	12.550344938133344	1.3112117766096456	0.6028569557248614	215.98484559367236	24.698736130078252	0.4194	0.1302	26.0	0	135.8488	0.08828577881877295
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s10_t001_cell_005	2016022510005	rgt2snf3	-240	3	15.25710144350153	110.19504991361656	1.9264450305518523	0.2699624708668941	50.35369	5.0857004811671755	36.73168330453885	1.4433256715839928	0.5406504348841258	84.04720199682946	1.7946760903968493	0.3316278325761952	109.85406643136301	63.88174676361534	0.40509	0.1103	15.0	1	152.317	0.10016676696298855
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s10_t001_cell_006	2016022510006	rgt2snf3	-240	4	10.226910641753472	77.43122439862698	1.8434633763833237	0.2942598247487632	34.98062	2.556727660438368	19.357806099656745	1.3996239868176072	0.5326131726833085	35.66095289273199	1.565854343212037	0.4297709131621711	122.73520502454843	42.67771011911918	0.40531	0.10173	15.0	0	58.2102	0.1756893232071608
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s10_t001_cell_007	2016022510007	rgt2snf3	-240	7	10.474132890942547	81.26816456518594	1.8736083081593744	0.28486716463945977	33.9822	1.4963046987060782	11.609737795026565	1.2634706626828824	0.6731292910542143	30.67540404566572	1.5250320913252642	0.4598386786726503	163.4754827541926	39.7377198285151	0.3787	0.09403	14.0	0	61.0051	0.17169274193374895
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s10_t001_cell_008	2016022510008	rgt2snf3	-240	3	10.459053505564787	78.21306862651467	1.8389368074402652	0.29571025711967275	38.62051	3.4863511685215958	26.07102287550489	1.397995124501624	0.5702916608100582	59.63139570112179	1.7160390868199955	0.3572827310003673	98.14372037305576	55.41798388242257	0.42022	0.08202000000000001	9.0	0	61.051	0.17131666157089626
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s10_t002_cell_001	2016022510001	rgt2snf3	-225	2	12.800086713311806	96.38853391516321	1.9085329158675908	0.27453687824913786	45.81818	6.400043356655901	48.194266957581604	1.6451007419169943	0.3859292246015088	64.73286132995477	1.7596169004733444	0.3329659333095125	98.80573248103387	59.338330538805025	0.3953	0.09903	14.0	0	118.3362	0.10816712648633137
2_25_16_yLB126_yLB233_yLB147_1NMPP1_cellasics_01_w2488 laser 5_s10_t002_cell_002	2016022510002	rgt2snf3	-225	4	8.281508218863637	63.67622308066385	1.793536033769633	0.3108706971052512	27.95923	2.0703770547159093	15.919055770165961	1.3110743118932344	0.628551583004263	38.191622040627344	1.5864850372985912	0.4310530298477597	105.69012049559973	44.93583959907298	0.40906	0.10353	12.0	0	52.4545	0.15787984288981186
