mitograph_data_extract_v2.py
directory: 2016_01_22_s1


image path	cellID	genotype	time	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
1_22_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s1_t001_cell_001	2016012201001	wildtype	-60	1	1.445896119424791	11.205107326282793	1.3461297343809355	0.5518565037915424	4.42042	1.445896119424791	11.205107326282793	1.3461297343809355	0.5518565037915424	11.205107326282793	1.3461297343809355	0.5518565037915424	25.941013453134804	25.941013453134804	0.38116	0.11902	3.0	0	12.2263	0.11826113537413535
1_22_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s1_t001_cell_002	2016012201002	wildtype	-60	1	3.2729003449455885	23.397371367922517	1.4814848385821169	0.4556229350801813	8.36196	3.2729003449455885	23.397371367922517	1.4814848385821169	0.4556229350801813	23.397371367922517	1.4814848385821169	0.4556229350801813	34.579429238703185	34.579429238703185	0.44157	0.08388	3.0	0	35.0364	0.09341428756794615
1_22_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s1_t001_cell_003	2016012201003	wildtype	-60	8	9.363066895719824	69.79344472186308	1.802433342385172	0.3078091848564037	25.80321	1.170383361964978	8.724180590232885	1.221923425913462	0.695919876486832	17.42956151518232	1.3669582866120091	0.5685628952985983	162.671978622989	28.761294565686345	0.43462	0.08846	19.0	0	112.2827	0.08338833048831051
1_22_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s1_t001_cell_004	2016012201004	wildtype	-60	5	5.287366978572983	39.90806309139407	1.6489536361298618	0.3677757676218397	16.29583	1.0574733957145963	7.981612618278813	1.2284900302917603	0.683832338705647	12.709707309525385	1.3280350197633557	0.583847466137383	101.96107974995479	25.533922814408044	0.41739	0.10812	10.0	0	61.8085	0.08554433417042935
1_22_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s1_t001_cell_005	2016012201005	wildtype	-60	3	7.534898463822055	54.037294234936546	1.7050832982134687	0.34396068030244176	19.30373	2.5116328212740178	18.01243141164551	1.3558999727412202	0.5921322171357402	24.629948496254958	1.4804493862256396	0.4674535372686692	85.08940163578356	35.01098827532482	0.44849	0.07737999999999999	7.0	0	110.78299999999999	0.06801493427531351
1_22_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s1_t001_cell_006	2016012201006	wildtype	-60	2	6.713341464372967	49.51830754117113	1.7015547243982567	0.3475448227796209	20.23282	3.3566707321864837	24.75915377058557	1.5062360487155286	0.4425709975949544	26.265966185435577	1.5202514607883002	0.4343459837356471	72.97940644870059	37.504632679251145	0.40091	0.11688	11.0	1	101.9924	0.06582197756276906
1_22_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s1_t001_cell_007	2016012201007	wildtype	-60	2	5.388979153522555	37.35537767681548	1.5852545281368624	0.397925705781328	14.3155	2.6944895767612773	18.67768883840774	1.3612115443499464	0.5667242569627127	26.823448255637967	1.4762658565814941	0.4724526020362113	56.2597015908696	34.96812936278102	0.45964	0.08361	5.0	0	78.1138	0.06898882340281173
1_22_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s1_t001_cell_008	2016012201008	wildtype	-60	3	5.9155941146190365	41.969242958721736	1.6288860955300448	0.37689343078448384	14.38139	1.9718647048730125	13.989747652907246	1.2866295394805	0.6392929983899546	26.71625336184235	1.4688781404869005	0.4855711561858855	72.47142691845488	34.88186131350644	0.43531	0.10213	8.0	0	56.8205	0.10411020872077922
1_22_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s1_t002_cell_001	2016012201001	wildtype	-45	2	2.4240927895988573	18.032133935840967	1.4374687764977594	0.4839529704385688	5.597569999999998	1.2120463947994289	9.016066967920484	1.2798486578362978	0.610950475510221	9.104370293310767	1.281862828649487	0.6090279772544329	44.622627862502874	22.416582056214686	0.44774	0.07174	4.0	0	30.6691	0.07904023233804895
1_22_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s1_t002_cell_002	2016012201002	wildtype	-45	1	2.9420877707880595	22.03340633095818	1.4896362010215496	0.4506501957966162	9.94544	2.9420877707880595	22.03340633095818	1.4896362010215496	0.4506501957966162	22.03340633095818	1.4896362010215498	0.4506501957966162	35.15335990835773	35.15335990835773	0.42514	0.07933	4.0	0	54.0785	0.05440401954174135
1_22_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s1_t002_cell_003	2016012201003	wildtype	-45	6	6.780900629988108	51.27087267214658	1.7202734995130362	0.3379130790828337	19.0473	1.130150104998018	8.545145445357763	1.2328821038280962	0.6812314731699732	15.954912960085167	1.3648689520999455	0.5612874689854881	124.55840168225004	28.154764147361163	0.42981	0.07825	13.0	0	99.727	0.06799463164426993
