mitograph_data_extract_v2.py
directory: 2015_10_26_s5


image path	cellID	genotype	time	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
10_26_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s5_t001_cell_001	2015102605001	hxk2	-60	1	3.3834481042129108	23.618834364083877	1.4720887536292149	0.4614578203207141	8.58972	3.3834481042129108	23.618834364083877	1.4720887536292149	0.4614578203207141	23.618834364083877	1.4720887536292149	0.4614578203207141	33.925649522000164	33.925649522000164	0.41233	0.09127	3.0	0	25.344	0.13350095108163315
10_26_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s5_t001_cell_002	2015102605002	hxk2	-60	5	7.2850755164063985	51.72944732966645	1.6871311254156367	0.3513195555442172	17.456789999999998	1.4570151032812797	10.34588946593329	1.2780448882682671	0.6214296622094293	11.457255434323855	1.304401034377261	0.5933178741898674	112.47932946844412	23.79387883460445	0.43704	0.11869	9.0	0	63.2451	0.11518798320196187
10_26_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s5_t001_cell_003	2015102605003	hxk2	-60	3	6.337023225393807	45.17677408200868	1.6516592207973824	0.3665718467760904	18.55758	2.112341075131269	15.058924694002894	1.3171637184575926	0.6159394969116949	22.186541936825382	1.4447475438699844	0.4921026463182711	77.31068569000433	32.715924681972716	0.42867	0.11079	5.0	0	57.9835	0.10929011228011085
10_26_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s5_t001_cell_004	2015102605004	hxk2	-60	1	4.08685231173875	28.588266261045923	1.5207419714528574	0.4324032358714733	12.52917	4.08685231173875	28.588266261045923	1.5207419714528574	0.4324032358714733	28.588266261045923	1.5207419714528574	0.4324032358714733	37.40182412958132	37.40182412958132	0.44326	0.09737	5.0	0	37.9715	0.10762946714611617
10_26_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s5_t001_cell_005	2015102605005	hxk2	-60	5	7.691226813307178	57.67962635946369	1.7495940134884953	0.32668217015716144	21.01552	1.5382453626614354	11.535925271892738	1.306378458704727	0.6129780068935323	16.40121312506961	1.4049062809685477	0.5122117509583869	123.26050637468069	29.75846296872428	0.3782	0.11567	8.0	1	104.0951	0.07388654041647665
10_26_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s5_t001_cell_006	2015102605006	hxk2	-60	3	10.41579347975032	74.99055233409787	1.8031440667938805	0.30756658151659977	31.23957	3.4719311599167733	24.996850778032627	1.427307183356363	0.5445747389251822	37.830658864016435	1.6032655311269275	0.39093561180889747	100.6957360744894	44.00568980726366	0.44072	0.09785	7.0	1	115.9149	0.08985724423478189
10_26_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s5_t001_cell_007	2015102605007	hxk2	-60	2	7.74082090728067	53.339379925423	1.6788797049885915	0.35478139872833203	22.26439	3.870410453640336	26.6696899627115	1.4396114590671742	0.5076989829477637	38.53308343403524	1.5648991293946954	0.42079963666553616	66.6782313722656	41.66993214088753	0.45302	0.07927000000000001	6.0	0	101.2393	0.07646063245479444
10_26_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s5_t001_cell_008	2015102605008	hxk2	-60	1	7.929693993818513	58.62454253100675	1.7460051822930291	0.32802650989789334	27.70802	7.929693993818513	58.62454253100675	1.7460051822930291	0.32802650989789334	58.62454253100675	1.7460051822930291	0.32802650989789334	56.606039737520035	56.606039737520035	0.40909	0.09533	4.0	0	63.0706	0.1257272642692239
10_26_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s5_t001_cell_009	2015102605009	hxk2	-60	3	4.61050575213038	31.929007314978012	1.5438358556309708	0.41956355210926066	11.65034	1.5368352507101266	10.643002438326004	1.257283691872965	0.6496870709364889	16.073458534152554	1.3468847573314953	0.5642963080874493	65.22738121736162	26.51991208016963	0.44897	0.11129	5.0	0	37.5289	0.12285214200603749
10_26_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s5_t001_cell_010	2015102605010	hxk2	-60	3	8.316526848268325	59.44109877819543	1.7304299407623311	0.3339580820919329	24.25571	2.772175616089441	19.81369959273181	1.3816878369036374	0.5534116676103908	29.790721444483943	1.5114514539260695	0.454135608668776	88.7922457772475	37.812740974116906	0.42461	0.10618	9.0	0	105.1165	0.07911723514641683
