mitograph_data_extract_v2.py
directory: 2019_02_15_glycerol


image path	cellID	genotype	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
2019_02_15_glycerol_11_w2488 laser 10_cell_006	2019021501006	glycerol	4	7.279614913094756	56.80198801346203	1.7683581853347188	0.3197860583575427	26.68226	1.8199037282736887	14.200497003365507	1.3861058018269636	0.5362073437252843	25.669742254141998	1.5158807138173482	0.4450817748678372	116.97604945660407	37.77164444994306	0.37721	0.12084	10.0	0	58.7776	0.1238501557242003
2019_02_15_glycerol_11_w2488 laser 10_cell_007	2019021501007	glycerol	5	8.297209578487625	60.08883966129021	1.741181964210169	0.3298463481006844	21.83574	1.6594419156975249	12.017767932258042	1.241758654597874	0.688955699323151	30.18625857516852	1.4853289081722207	0.4900180704800288	110.15497731327162	36.982607888770474	0.45124	0.09675	13.0	0	77.4886	0.10707651936526952
2019_02_15_glycerol_11_w2488 laser 10_cell_008	2019021501008	glycerol	7	7.722201850158713	57.76257637832613	1.7485074986877238	0.3270882940015468	24.33237	1.1031716928798159	8.251796625475162	1.2349011208751457	0.681886397700411	12.932696379229652	1.338891751516036	0.5695190455966299	145.6123122109931	25.95422597935941	0.41609	0.12059	17.0	0	67.1787	0.11495015310148474
2019_02_15_glycerol_11_w2488 laser 10_cell_009	2019021501009	glycerol	5	8.320487895474779	61.55269538569626	1.7606182977465104	0.32260387364679183	25.38635	1.6640975790949557	12.310539077139252	1.2762781675339343	0.6590530875390214	19.446921205652348	1.4236047850151925	0.5157620438726976	118.53628524038712	31.697274552814125	0.41088	0.0992	11.0	0	94.2936	0.08824021880037224
2019_02_15_glycerol_12_w2488 laser 10_cell_001	2019021502001	glycerol	9	11.59176295185001	91.79876632153372	1.92512911875278	0.2698238122186625	42.36293	1.2879736613166677	10.199862924614855	1.2322391221114843	0.7021893731726213	36.29337793160408	1.5596444208595397	0.451906447528888	195.84452349978312	43.354742235226546	0.38	0.10523	27.0	0	99.6638	0.11630865923083417
2019_02_15_glycerol_12_w2488 laser 10_cell_002	2019021502002	glycerol	7	7.129747790940463	56.10402284132876	1.7749334397896706	0.31930537798684383	23.24312	1.0185353987057804	8.014860405904107	1.2732840382884525	0.6351435707710815	12.331308311278903	1.3343001036627902	0.5776737488271484	157.78815774032077	25.879811313288485	0.36349	0.1289	21.0	1	80.3552	0.08872789553059993
2019_02_15_glycerol_12_w2488 laser 10_cell_003	2019021502003	glycerol	5	7.8481133755809855	60.2790197523635	1.7765847872130285	0.3168313312158988	28.59808	1.5696226751161968	12.055803950472699	1.300727659290298	0.6263222066816884	19.38091171474249	1.4362305098619168	0.5028160585008933	123.75147895971924	32.45278326004928	0.38843	0.10803	7.0	0	76.3897	0.10273784784573031
2019_02_15_glycerol_12_w2488 laser 10_cell_004	2019021502004	glycerol	3	5.330491150650135	39.59838083384609	1.6381018831559997	0.3726646347052352	13.90176	1.7768303835500447	13.199460277948694	1.3327758837991457	0.5779189302225033	17.202961741887652	1.4019639566727755	0.5227726901789752	77.66407546886826	30.041167867605914	0.43228	0.09347	8.0	0	52.4728	0.10158579589139774
2019_02_15_glycerol_12_w2488 laser 10_cell_005	2019021502005	glycerol	2	5.1944090753334535	38.55781244672265	1.6304297135090644	0.3761801169019989	16.88424	2.5972045376667263	19.278906223361325	1.4257469066681383	0.5043882486972473	26.19696741982473	1.506064016064558	0.4480291553498297	63.180800508831815	36.81367130143328	0.38809	0.1172	3.0	0	52.5089	0.09892435521089671
2019_02_15_glycerol_12_w2488 laser 10_cell_006	2019021502006	glycerol	4	4.371040666314449	32.583613965515624	1.5875568321288231	0.3967723843800575	12.43981	1.0927601665786122	8.145903491378906	1.2282154785763535	0.6869965807796682	11.587797986122787	1.3094645767225814	0.5987711884467511	81.59630147651792	24.399264649816157	0.39479	0.11365	6.0	0	51.7408	0.0844795725291153
