mitograph_data_extract_v2.py
directory: 2015_10_30_s1


image path	cellID	genotype	time	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t001_cell_001	2015103001001	wildtype	-60	4	2.285603957433625	17.059031944433254	1.4258312727874618	0.4918851690771288	4.661569999999998	0.5714009893584062	4.264757986108314	1.1243569092984425	0.8031681376632454	6.239005653884566	1.1802913646864208	0.7324593810660885	61.51994802472188	17.832587124666922	0.41661	0.1403	7.0	0	29.3893	0.07776993522927136
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t001_cell_002	2015103001002	wildtype	-60	3	2.873277051334964	19.838519078073105	1.4246889670563996	0.4926742655293434	6.13266	0.9577590171116548	6.612839692691035	1.176124140515325	0.7340031162053795	7.580798224327282	1.2023207359496584	0.7002817430430499	52.639791832481244	18.68104024574032	0.47002	0.09458	6.0	0	31.7316	0.09054939087014094
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t001_cell_003	2015103001003	wildtype	-60	1	2.8425564207722633	20.385284129054924	1.4493723026259635	0.4760363148680961	7.96515	2.8425564207722633	20.385284129054924	1.4493723026259635	0.4760363148680961	20.385284129054924	1.4493723026259635	0.4760363148680961	32.3791959428582	32.3791959428582	0.3937	0.1507	5.0	0	50.5789	0.056200439724317125
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t001_cell_004	2015103001004	wildtype	-60	1	2.672864332750066	17.958084136585537	1.3885524854996896	0.5186512150565437	6.1905	2.672864332750066	17.958084136585537	1.3885524854996896	0.5186512150565437	17.958084136585537	1.3885524854996896	0.5186512150565437	28.471679564006664	28.471679564006664	0.48371	0.07939	2.0	0	58.5555	0.04564668276677794
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t001_cell_005	2015103001005	wildtype	-60	4	4.3349544095949915	29.598130020501014	1.5172665956848015	0.4343863874288401	9.72054	1.0837386023987479	7.399532505125252	1.1985468707748312	0.7011687769328958	7.898058743029117	1.2123747104691172	0.6839431476922866	73.72594835924073	19.040108189445515	0.42738	0.14405	8.0	0	89.7594	0.048295269460301556
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t001_cell_006	2015103001006	wildtype	-60	1	3.794325745216182	26.031441175309325	1.4875178063972463	0.4519346640789458	9.70954	3.794325745216182	26.031441175309325	1.4875178063972463	0.4519346640789458	26.031441175309325	1.4875178063972463	0.4519346640789458	35.00359950833415	35.00359950833415	0.48494	0.07341	2.0	0	72.2703	0.05250186792107105
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t001_cell_007	2015103001007	wildtype	-60	2	6.129698239311956	42.40395064901762	1.6180107384083031	0.3819769888129584	17.85966	3.064849119655978	21.20197532450881	1.429512886116313	0.4952000908320159	22.407999581908346	1.4488185161431215	0.4818773926069845	62.870007267452706	32.695320641698345	0.45833	0.0736	7.0	0	137.8577	0.044463952607014016
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t001_cell_008	2015103001008	wildtype	-60	2	3.9291839674817104	27.207890948816317	1.503157849617661	0.4425790189550452	10.37938	1.9645919837408552	13.603945474408158	1.2730517458992674	0.6628630098225488	19.20823864672823	1.395201463171709	0.538614255259471	47.01386814615536	29.872858314194193	0.47495	0.12331	3.0	0	116.0434	0.03385960741827377
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t001_cell_009	2015103001009	wildtype	-60	2	3.2610135471549784	22.052578541940047	1.4400252000314189	0.4822362079888049	7.68577	1.6305067735774892	11.026289270970024	1.27871807703908	0.6140168806172345	11.481165861081474	1.2880679811115543	0.6050494809330349	44.64848209091504	22.812214654053488	0.49244	0.06692000000000001	4.0	0	62.1808	0.0524440590528745
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t001_cell_010	2015103001010	wildtype	-60	2	3.9527462821123214	29.393077627708568	1.5592442659398738	0.4113122922201013	11.19855	1.9763731410561605	14.696538813854284	1.3772462037609825	0.5327963279230912	16.33300883831573	1.404365659111757	0.5118871938202948	56.1498527677844	29.71801259382089	0.42899	0.10957	6.0	0	81.0588	0.048763937809495346
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t001_cell_011	2015103001011	wildtype	-60	1	1.7415818344042229	12.62457888826102	1.3429250016288898	0.5544935279462848	4.83718	1.7415818344042229	12.62457888826102	1.3429250016288898	0.5544935279462848	12.62457888826102	1.3429250016288896	0.5544935279462848	25.75618077366468	25.75618077366468	0.4417100000000001	0.08104	3.0	0	25.3847	0.06860754054230395
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t002_cell_001	2015103001001	wildtype	-45	1	3.8618909942994715	27.791164801714412	1.527957620570262	0.4283289044194587	9.77095	3.8618909942994715	27.791164801714412	1.527957620570262	0.4283289044194587	27.791164801714412	1.527957620570262	0.4283289044194587	37.936749175355615	37.936749175355615	0.41921	0.11819	3.0	0	59.1908	0.06524478456617365
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t002_cell_002	2015103001002	wildtype	-45	2	2.4749438720205124	16.783737443678508	1.3772533101693067	0.5271962959811445	4.7885	1.2374719360102562	8.391868721839254	1.1966201891744483	0.7213670837529309	11.329904458723496	1.2710256598876362	0.6326149423121374	37.622364882734324	22.222502917015085	0.4930600000000001	0.07491	4.0	0	33.4433	0.07400417638272874
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t002_cell_003	2015103001003	wildtype	-45	4	3.7173474131473307	27.193987367103485	1.5307937010157784	0.4267432564897824	11.98904	0.9293368532868328	6.798496841775871	1.1934635646157237	0.7291381086516022	15.967488694344851	1.3642972612727815	0.5522163752404141	75.56831414699138	27.62047688276112	0.4220100000000001	0.11265	7.0	0	56.3121	0.06601329755323156
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t002_cell_004	2015103001004	wildtype	-45	2	2.7966289515292737	19.369290960313496	1.4204845557031978	0.495595058697221	8.16576	1.3983144757646369	9.684645480156748	1.244193812356548	0.6599166034796184	11.768108105762856	1.2927518342058386	0.608769831396688	41.838595624563155	23.323170765147466	0.45222	0.09824	5.0	0	69.4504	0.04026800351803983
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t002_cell_005	2015103001005	wildtype	-45	4	5.396168393798372	37.007454661351694	1.5771538036019608	0.4020239299452085	15.129129999999998	1.3490420984495928	9.251863665337924	1.1919626875884088	0.7381583187633366	17.571488674864128	1.344560176464369	0.5871636932530622	76.29813708618995	27.15160891336682	0.43649	0.11801	11.0	0	93.8922	0.057471956070880986
10_30_15_yLB126_yLB146_yLB180_yLB196_cellasics_01_w2488 laser 5_s1_t002_cell_006	2015103001006	wildtype	-45	2	4.285443779707119	27.994319810627683	1.4812474997245324	0.4557689548240357	9.83191	2.14272188985356	13.997159905313842	1.319704120165167	0.5741808931876109	14.011560761228427	1.3197636255870893	0.574129113661517	48.8863690312333	24.446490930404014	0.48965	0.0915	5.0	0	74.7623	0.05732091949695394
