mitograph_data_extract_v2.py
directory: 2016_01_15_s11


image path	cellID	genotype	time	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s11_t001_cell_001	2016011511001	hxk2	-60	2	9.296477357424443	66.83222335734133	1.767983009787461	0.3199217934167083	29.263440000000006	4.648238678712222	33.416111678670674	1.534336654305685	0.4393728622500778	44.59478436473359	1.6288950202352823	0.3858193945007399	79.41875842502793	46.8381239918833	0.44579	0.0663	10.0	0	137.9142	0.06740768794964147
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s11_t001_cell_002	2016011511002	hxk2	-60	2	9.034572299883367	68.57281094504111	1.8079984261726272	0.30591720578532844	31.76306	4.517286149941683	34.286405472520556	1.5385406412928293	0.4496096031663398	51.35460346496132	1.6948886272501476	0.36008239968371786	82.26901217374325	53.023431051311064	0.41637	0.09135	6.0	0	140.7801	0.06417506664566489
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s11_t001_cell_003	2016011511003	hxk2	-60	1	9.942734771520751	73.39496589406228	1.8117118408234505	0.3046644312575206	33.243590000000005	9.942734771520751	73.39496589406228	1.8117118408234505	0.3046644312575206	73.39496589406228	1.8117118408234507	0.3046644312575206	63.240246635830935	63.240246635830935	0.43114	0.08778999999999999	4.0	0	177.4579	0.05602869622327747
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s11_t001_cell_004	2016011511004	hxk2	-60	2	5.747023242069114	40.984126522538574	1.6312213704560377	0.3785852968650783	17.38123	2.873511621034557	20.492063261269287	1.3385940548383706	0.6271589519155962	34.91767599882077	1.5596874503684819	0.4276901386507064	56.92727890100761	41.265617959713744	0.4243	0.10516	6.0	1	55.0429	0.10440989195825644
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s11_t001_cell_005	2016011511005	hxk2	-60	3	5.952500411690334	43.30616815181109	1.6511999697365038	0.3667757856376884	16.99513	1.984166803896778	14.435389383937027	1.3418732865490233	0.5760768013173333	18.08672257720505	1.4133635853488469	0.5096753559431383	79.63197417024281	30.445620449161805	0.44135	0.09533	9.0	0	50.3343	0.11825932637764575
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s11_t001_cell_006	2016011511006	hxk2	-60	3	7.121752548640695	53.260199910229026	1.7248991465629269	0.3361031520394137	21.97034	2.3739175162135653	17.75339997007634	1.3995307790422693	0.5339612962058081	23.827815442740288	1.4955164524919398	0.451888481878594	90.85598772899208	35.82993503206645	0.41678	0.10209	7.0	0	65.0326	0.10951050009750025
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s11_t001_cell_007	2016011511007	hxk2	-60	2	5.861361784449277	43.22776863466847	1.658211174410798	0.3636807592823936	19.892	2.9306808922246383	21.613884317334236	1.398705125864044	0.5633669646149319	42.475663239754596	1.6475911413739384	0.3691373091052108	63.83060603094971	47.616848767236405	0.40683	0.09124	6.0	1	55.0159	0.1065394146864684
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s11_t001_cell_008	2016011511008	hxk2	-60	3	6.865693048596048	49.93555978495238	1.6907060423486533	0.34983542952114494	21.3795	2.2885643495320163	16.645186594984132	1.2694427492305094	0.7015348103106654	42.29230010241536	1.6166133404470178	0.3977987461637984	75.09849002639884	45.92433339184875	0.42345	0.07552	6.0	1	60.7375	0.11303878244241282
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s11_t001_cell_009	2016011511009	hxk2	-60	1	7.4225578951740125	54.05704281073829	1.7139555255945982	0.3404088975156762	25.50928	7.4225578951740125	54.05704281073829	1.7139555255945982	0.3404088975156762	54.05704281073829	1.7139555255945982	0.3404088975156762	53.545728571300224	53.545728571300224	0.43848	0.08108	7.0	0	99.7895	0.07438215338461474
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s11_t001_cell_010	2016011511010	hxk2	-60	2	6.752421077222839	50.28634872032135	1.7060685749372215	0.3435635115149514	21.86548	3.3762105386114194	25.143174360160675	1.3933346214479767	0.5879564748432444	43.59834741686829	1.6431362602195037	0.3859721012285274	65.08534092820167	48.24057084270788	0.41032	0.0888	6.0	0	51.3138	0.13159074317674463
1_15_16_yLB126_MOPSO_yLB146_yLB207_cellasics_01_w2488 laser 5_s11_t001_cell_011	2016011511011	hxk2	-60	3	6.512764621380379	48.261035766360465	1.6916134495066668	0.3494602161030972	21.93818	2.1709215404601263	16.087011922120162	1.3288412740607225	0.6136691045022203	26.314432102730798	1.4948011827848957	0.4696253940986758	80.83575560778566	36.79916637779245	0.41083	0.09262	10.0	0	65.6981	0.0991317042864311
