mitograph_data_extract_v2.py
directory: 2015_09_16_s1


image path	cellID	genotype	time	total number of mitochondria	total mitochondrial volume (um^3)	total mitochondrial surface area (um^2)	total normalized shape index	total sphericity	total length (um)	average volume of mitochondrion (um^3)	average surface area of mitochondrion (um^2)	average NSI of mitochondrion	average sphericity of mitochondrion	volume-weighted average surface area of mitochondria (um^2)	volume-weighted average NSI of mitochondrion	volume-weighted average sphericity of mitochondrion	average compactedness of mitochondrion	volume-weighted average compactedness of mitochondrion	average width (um)	std width (um)	number of endpoints	artifacts	cell volume (um^3)	mito/cell volume ratio
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t001_cell_001	2015091601001	wildtype	-120	1	5.7700361397224365	43.18348626459584	1.6660598951141732	0.3602622685291381	19.82584	5.7700361397224365	43.18348626459584	1.6660598951141732	0.3602622685291381	43.18348626459584	1.6660598951141732	0.3602622685291381	49.18107503694944	49.18107503694944	0.40241	0.09448	7.0	0	85.9269	0.06715052142835871
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t001_cell_002	2015091601002	wildtype	-120	3	3.5689928742201587	24.97914947706997	1.4871845587803854	0.452137225385503	9.53858	1.1896642914067197	8.326383159023322	1.202743255785552	0.714875502699926	11.840255077531356	1.287763036644631	0.6221130494321062	57.53816814751305	23.345060021378213	0.46595	0.07256	8.0	0	48.5315	0.0735397190323843
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t001_cell_003	2015091601003	wildtype	-120	2	4.889401299625627	35.159818522859645	1.588654128147294	0.396224465999566	12.47762	2.444700649812813	17.579909261429822	1.3909472336739526	0.5282917185599811	21.323482042822484	1.4454484947082806	0.4871909449234855	58.48837145514029	32.61649768169779	0.44003	0.10767	4.0	0	76.6799	0.06376379337512994
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t001_cell_004	2015091601004	wildtype	-120	2	3.2527824963568457	24.091352846945945	1.5063880340211893	0.4406829881363907	9.91856	1.6263912481784228	12.045676423472973	1.2860077991155556	0.6404243723598919	17.431493623761654	1.4043112583665718	0.5248027988710046	47.827060364325845	30.19537186794082	0.40421	0.10793	4.0	0	37.7539	0.08615752270247168
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t001_cell_005	2015091601005	wildtype	-120	1	3.8689035296276346	27.96290162822015	1.5317448244776877	0.4262134560929349	12.69235	3.8689035296276346	27.96290162822015	1.5317448244776877	0.4262134560929349	27.96290162822015	1.5317448244776877	0.4262134560929349	38.219539631013006	38.219539631013006	0.41044	0.10985	5.0	0	52.8298	0.07323335559906785
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t001_cell_006	2015091601006	wildtype	-120	3	3.3158669813215336	24.943107518098017	1.5230033212771554	0.431120127634296	9.55529	1.1052889937738446	8.314369172699339	1.2505170189624355	0.6534955957357284	9.121873506109573	1.2800883019099638	0.6207445297467145	63.63924429829599	22.63401747777575	0.40274	0.11458	6.0	0	28.9982	0.1143473381562143
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t001_cell_007	2015091601007	wildtype	-120	4	5.0368097330568515	36.29917812185835	1.5982859627855053	0.3914632790359772	13.05355	1.2592024332642129	9.074794530464583	1.2460933550548456	0.656599797699785	11.568905486002832	1.3001882331641346	0.6048385751397478	84.07505060771027	23.888769753577428	0.44433	0.10196	9.0	0	80.2486	0.06276507917965986
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t001_cell_008	2015091601008	wildtype	-120	2	5.434883457005715	37.348645188573826	1.5806363023156085	0.40025438244577655	13.33026	2.7174417285028576	18.674322594286913	1.4022111201266552	0.5114729935424644	19.321297964971983	1.4127194375415046	0.5038213101026536	58.970970706396045	30.145083514316145	0.46415	0.06663	5.0	0	108.16799999999999	0.05024483633797163
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t002_cell_001	2015091601001	wildtype	-100	4	5.2187579426487245	38.03134795472641	1.6167383707602807	0.3825784546008632	14.20224	1.3046894856621811	9.507836988681602	1.2773196392647526	0.6178643667791586	9.939710172291738	1.2884144261819874	0.6067903359411215	89.32453776388675	22.897570004846912	0.44231	0.10135	10.0	0	69.2721	0.07533708293308164
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t002_cell_002	2015091601002	wildtype	-100	3	3.8212323343118695	26.24605102803514	1.4901229637634728	0.4503558255972106	10.44954	1.2737441114372898	8.748683676011714	1.2348232590880073	0.660384341447161	9.558349398258231	1.2514583470997571	0.6428011249483722	60.48002543060305	20.976528122159653	0.47288	0.08811000000000001	5.0	0	63.2716	0.06039411575354297
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t002_cell_003	2015091601003	wildtype	-100	2	6.477699639811506	47.21550867431725	1.6762032253915284	0.35591529856864823	17.5621	3.238849819905753	23.607754337158624	1.3597233214156623	0.6257349923456744	40.43005702106433	1.6098441134305437	0.40610348223368936	61.19402820940074	45.58743959384603	0.41188	0.10363	8.0	0	74.5119	0.08693510217578006
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t002_cell_004	2015091601004	wildtype	-100	3	3.5682257645071607	26.458910657963198	1.5307107872226968	0.4267894884241901	9.07115	1.1894085881690537	8.819636885987732	1.2205317359363692	0.7048632673247491	13.90776410695083	1.3414854630569046	0.5818251748570727	61.16154102115405	26.653346728399995	0.45368	0.08747	8.0	0	54.9151	0.06497713314747966
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t002_cell_005	2015091601005	wildtype	-100	3	5.374447764164032	41.38291859568572	1.6700284923735678	0.3585520736780317	16.399160000000002	1.7914825880546772	13.794306198561909	1.3769035249440291	0.5352665765968093	15.5015697819941	1.4075905924466858	0.5102640046086296	84.42002717975478	29.940575337534966	0.39735	0.11526	6.0	0	58.7103	0.09154182084172678
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t002_cell_006	2015091601006	wildtype	-100	2	3.25667409299711	22.550111926952148	1.4568254582853564	0.4711779470036167	8.508560000000001	1.628337046498555	11.275055963476074	1.2970060153844931	0.5949368240824277	11.398794780697957	1.2992743635338906	0.5928564074750836	46.444770763286584	23.344138629641122	0.41911	0.08745	1.0	0	65.5552	0.04967834882659362
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t002_cell_007	2015091601007	wildtype	-100	1	4.605342757591714	32.45888600124786	1.5571750033036915	0.4124061688364775	13.57375	4.605342757591714	32.45888600124786	1.5571750033036915	0.4124061688364775	32.45888600124786	1.5571750033036915	0.4124061688364775	40.154891556231696	40.154891556231696	0.43936	0.10563	3.0	0	83.9031	0.054888827201756724
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t002_cell_008	2015091601008	wildtype	-100	2	5.256210948452205	36.28224199870735	1.5753633348236464	0.4029382845288975	14.41852	2.6281054742261025	18.141120999353674	1.4027037800982385	0.5088914839045066	18.172096331835007	1.4035264251137425	0.5082948388721243	58.77745878640321	29.440377420699978	0.45069	0.08828	4.0	0	114.5053	0.045903647677899666
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t003_cell_001	2015091601001	wildtype	-80	1	4.545647524406808	32.79437115481986	1.5720233983662533	0.40465227670675813	12.79513	4.545647524406808	32.79437115481986	1.5720233983662533	0.40465227670675813	32.79437115481986	1.5720233983662533	0.40465227670675813	41.31456689891426	41.31456689891426	0.4406600000000001	0.07197	3.0	0	76.8661	0.059137220756702996
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t003_cell_002	2015091601002	wildtype	-80	5	4.6827853771080745	32.05790634754203	1.5389485395927252	0.4222326415885775	7.5977	0.9365570754216148	6.411581269508406	1.1567493067388963	0.7612913361676035	7.797128472368271	1.198376038418698	0.7136273410708648	84.05333899992691	18.773581829679863	0.52252	0.07852999999999999	10.0	0	86.9119	0.05387968019463473
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t003_cell_003	2015091601003	wildtype	-80	1	5.577571941126767	40.01090387173989	1.6219298206749688	0.3801332707700119	14.32506	5.577571941126767	40.01090387173989	1.6219298206749688	0.3801332707700119	40.01090387173989	1.6219298206749688	0.3801332707700119	45.37559815349177	45.37559815349177	0.43574	0.08093	2.0	0	74.3031	0.07506513107968263
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t003_cell_004	2015091601004	wildtype	-80	3	4.743151884769318	35.28573231158996	1.607688214331204	0.3868978745682676	15.98905	1.5810506282564398	11.761910770529989	1.2919026100631046	0.6360163639078725	15.426425362160106	1.3832936977565975	0.5372721477882001	72.33349007369237	28.69310736989657	0.40437	0.10077	8.0	0	65.1193	0.07283788193007786
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t003_cell_005	2015091601005	wildtype	-80	3	4.974737549506321	35.905374440041435	1.5961766128314194	0.3924986013766166	11.89374	1.65824584983544	11.968458146680481	1.3236602527582402	0.5741502199826162	13.080967880551189	1.342008928304813	0.5576301332299427	74.41173082852798	25.804606686224357	0.4437	0.08109	7.0	0	55.308	0.08994607560400522
9_16_15_yLB126_yLB166_yLB174_yLB180_cellasics_01_w2488 laser 5_s1_t003_cell_006	2015091601006	wildtype	-80	2	3.7545863110593	27.22644279519605	1.5266261313906218	0.4290763880344147	10.81571	1.87729315552965	13.613221397598025	1.357902422632947	0.5435360880362421	14.251362387189085	1.3663164678026525	0.5368051905202909	53.373562527220095	27.181885519270764	0.43503	0.09387	5.0	0	58.2777	0.06442578054829377
